290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,
290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,
290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,
290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,
290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,
290,290,290,290,290,430,430,430,430,430,430,290,290,290,290,290,
290,290,290,290,290,430,12,420,420,42,430,290,290,290,290,290,
290,290,290,290,290,430,420,420,420,420,430,290,290,290,290,290,
290,290,290,290,290,430,420,420,420,420,430,290,290,290,290,290,
290,290,290,290,290,430,32,420,420,22,430,290,290,290,290,290,
290,290,290,290,290,430,430,420,420,430,430,290,290,290,290,290,
290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,
290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,
290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,
290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,
290,290,290,290,290,290,400,440,440,400,290,290,290,290,290,290,
