20,20,20,20,20,20,20,20,20,20,20,20,20,20,
20,180,180,180,180,180,180,180,180,180,180,180,180,20,
20,180,180,180,180,140,180,180,270,180,180,180,180,20,
20,180,180,200,200,200,200,200,200,200,200,180,180,20,
20,180,180,190,190,190,190,190,190,190,190,180,180,20,
20,260,260,260,260,260,260,260,260,260,260,260,260,20,
20,260,260,260,260,260,250,250,260,260,260,260,260,20,
20,180,180,180,180,180,210,210,180,180,180,180,180,20,
20,150,150,150,150,150,210,210,150,150,150,150,150,20,
20,150,150,150,150,150,210,210,150,150,150,150,150,20,
20,150,150,150,150,150,210,210,150,150,150,150,150,20,
20,150,150,150,150,150,210,210,150,150,150,150,150,20,
20,180,180,180,180,180,210,210,180,180,180,180,180,20,
20,180,180,180,180,180,170,170,180,180,180,180,180,20,
20,20,20,20,20,20,220,230,20,20,20,20,20,20,
